userName,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
User02,2016-04-29,1,119,127
User02,2016-04-30,1,124,142
User02,2016-05-02,1,796,961
User02,2016-05-08,1,137,154
User04,2016-04-13,1,467,531
User04,2016-04-14,1,445,489
User04,2016-04-15,1,452,504
User04,2016-04-17,1,556,602
User04,2016-04-18,1,500,557
User04,2016-04-19,1,465,514
User04,2016-04-21,1,460,484
User04,2016-04-22,1,405,461
User04,2016-04-23,1,374,386
User04,2016-04-24,1,442,459
User04,2016-04-25,1,433,471
User04,2016-04-26,1,436,490
User04,2016-04-27,1,448,499
User04,2016-04-28,1,408,450
User04,2016-04-29,1,411,473
User05,2016-04-12,1,274,469
User05,2016-04-14,1,291,397
User05,2016-04-15,1,424,556
User05,2016-04-16,1,283,510
User05,2016-04-17,1,381,566
User05,2016-04-19,1,219,395
User05,2016-04-21,1,332,512
User05,2016-04-22,1,355,476
User05,2016-04-23,1,235,372
User05,2016-04-24,1,310,526
User05,2016-04-25,1,262,467
User05,2016-04-26,1,250,371
User05,2016-04-27,1,349,540
User05,2016-04-28,1,261,423
User05,2016-04-29,1,333,478
User05,2016-04-30,1,237,382
User05,2016-05-01,1,383,626
User05,2016-05-02,1,230,384
User05,2016-05-03,1,292,500
User05,2016-05-04,1,213,336
User05,2016-05-05,1,318,480
User05,2016-05-06,1,323,512
User05,2016-05-07,1,237,443
User05,2016-05-10,1,312,452
User05,2016-04-13,2,295,456
User05,2016-04-18,2,412,522
User05,2016-04-20,2,152,305
User05,2016-05-08,2,259,456
User06,2016-04-14,1,535,557
User06,2016-04-15,1,465,491
User06,2016-04-16,1,506,522
User06,2016-04-18,1,515,551
User06,2016-04-20,1,523,543
User06,2016-04-21,1,59,65
User06,2016-04-22,1,533,550
User06,2016-04-23,1,692,722
User06,2016-04-24,1,467,501
User06,2016-04-25,1,488,506
User06,2016-04-26,1,505,516
User06,2016-04-27,1,286,307
User06,2016-04-28,1,497,522
User06,2016-04-29,1,523,546
User06,2016-04-30,1,490,516
User06,2016-05-01,1,484,500
User06,2016-05-02,1,478,506
User06,2016-05-03,1,474,512
User06,2016-05-06,1,450,491
User06,2016-05-07,1,507,530
User06,2016-05-08,1,602,638
User06,2016-05-09,1,535,565
User06,2016-05-10,1,487,517
User06,2016-05-11,1,529,558
User06,2016-05-12,1,302,321
User06,2016-04-19,2,461,498
User07,2016-04-15,1,499,526
User07,2016-04-18,1,99,104
User07,2016-04-19,1,329,338
User07,2016-04-20,1,421,451
User07,2016-04-21,1,442,458
User07,2016-04-22,1,82,85
User07,2016-04-23,1,478,501
User07,2016-04-26,1,319,346
User07,2016-04-27,1,439,500
User07,2016-04-28,1,428,458
User07,2016-05-01,1,547,597
User07,2016-05-04,1,390,414
User07,2016-05-05,1,471,495
User07,2016-05-05,1,471,495
User07,2016-05-07,1,472,496
User07,2016-05-09,1,62,65
User07,2016-05-10,1,354,375
User07,2016-05-11,1,469,494
User07,2016-04-16,2,426,448
User07,2016-04-17,2,619,641
User07,2016-04-30,2,409,430
User07,2016-05-02,2,368,376
User07,2016-05-08,2,529,541
User07,2016-04-24,3,552,595
User08,2016-04-12,1,425,439
User08,2016-04-14,1,384,415
User08,2016-04-15,1,253,257
User08,2016-04-17,1,591,612
User08,2016-04-18,1,293,312
User08,2016-04-19,1,457,487
