HourOfDay,SumCalories,AvgCalories
0,67066,71.805139186295534
1,65464,70.165058949624893
2,64551,69.18649517684895
3,63013,67.538049303322623
4,63620,68.261802575107211
5,76152,81.708154506437822
6,80994,86.996777658431682
7,87959,94.477980665950625
8,96207,103.3372717508056
9,98819,106.14285714285714
10,102618,110.46071044133481
11,101791,109.80690399136988
12,108056,117.19739696312362
13,106200,115.30944625407157
14,106590,115.73289902280131
15,97573,106.6371584699454
16,102788,113.32745314222717
17,111214,122.75275938189829
18,111884,123.49227373068427
19,110065,121.48454746136881
20,92736,102.35761589403982
21,86931,96.0563535911602
22,79792,88.2654867256637
23,70067,77.593576965670152
