userName,HourOfDay,MaxIntensity,SumIntensity,AvgIntensity
User01,0,18,137,4.4
User01,1,26,59,1.9
User01,2,19,77,2.5
User01,3,4,15,0.5
User01,4,27,33,1.1
User01,5,49,59,1.9
User01,6,77,117,3.8
User01,7,147,203,6.5
User01,8,167,293,9.5
User01,9,169,387,12.5
User01,10,100,433,14.0
User01,11,48,363,11.7
User01,12,38,313,10.1
User01,13,87,396,12.8
User01,14,112,363,11.7
User01,15,28,160,5.2
User01,16,70,256,8.5
User01,17,50,315,10.5
User01,18,56,422,14.1
User01,19,58,505,16.8
User01,20,51,266,8.9
User01,21,41,295,9.8
User01,22,44,275,9.2
User01,23,19,175,5.8
User02,0,41,112,3.7
User02,1,26,64,2.1
User02,2,36,70,2.3
User02,3,35,45,1.5
User02,4,7,18,0.6
User02,5,7,15,0.5
User02,6,7,14,0.5
User02,7,32,79,2.6
User02,8,36,256,8.5
User02,9,35,210,7.0
User02,10,33,224,7.5
User02,11,47,283,9.4
User02,12,63,387,13.3
User02,13,61,456,15.7
User02,14,93,446,15.4
User02,15,39,288,9.9
User02,16,98,370,12.8
User02,17,43,372,12.8
User02,18,94,647,22.3
User02,19,130,1073,37.0
User02,20,90,679,23.4
User02,21,88,739,25.5
User02,22,67,483,16.7
User02,23,38,118,4.1
User03,0,0,0,0.0
User03,1,0,0,0.0
User03,2,0,0,0.0
User03,3,0,0,0.0
User03,4,0,0,0.0
User03,5,0,0,0.0
User03,6,21,69,2.2
User03,7,40,446,14.4
User03,8,63,495,16.0
User03,9,157,1896,61.2
User03,10,157,1726,55.7
User03,11,142,934,30.1
User03,12,102,756,24.4
User03,13,49,678,21.9
User03,14,126,1623,52.4
User03,15,72,793,25.6
User03,16,121,930,31.0
User03,17,59,692,23.1
User03,18,104,737,24.6
User03,19,47,518,17.3
User03,20,20,185,6.2
User03,21,35,50,1.7
User03,22,7,7,0.2
User03,23,0,0,0.0
User04,0,1,4,0.2
User04,1,1,1,0.1
User04,2,3,7,0.4
User04,3,1,1,0.1
User04,4,4,6,0.3
User04,5,1,3,0.2
User04,6,9,40,2.4
User04,7,95,520,30.6
User04,8,130,622,36.6
User04,9,132,292,17.2
User04,10,31,255,15.0
User04,11,57,365,21.5
User04,12,44,287,16.9
User04,13,72,449,26.4
User04,14,32,292,17.2
User04,15,41,217,12.8
User04,16,26,207,12.2
User04,17,38,255,15.0
User04,18,68,638,37.5
User04,19,117,496,29.2
User04,20,64,492,28.9
User04,21,88,426,25.1
User04,22,29,126,7.4
User04,23,8,11,0.6
User05,0,24,174,6.0
User05,1,15,43,1.5
User05,2,3,14,0.5
User05,3,3,16,0.6
User05,4,1,5,0.2
User05,5,3,11,0.4
User05,6,13,25,0.9
User05,7,25,55,1.9
User05,8,34,175,6.0
User05,9,30,218,7.5
User05,10,53,485,16.7
User05,11,95,539,18.6
User05,12,78,359,12.4
User05,13,118,766,26.4
User05,14,112,817,28.2
User05,15,87,447,15.4
User05,16,88,608,21.0
User05,17,116,692,23.9
User05,18,111,750,25.9
User05,19,147,1032,35.6
User05,20,109,818,28.2
User05,21,115,810,27.9
User05,22,114,980,33.8
User05,23,129,760,26.2
User06,0,3,14,0.5
User06,1,2,12,0.4
User06,2,2,8,0.3
User06,3,4,19,0.6
User06,4,5,19,0.6
User06,5,53,65,2.2
User06,6,82,95,3.2
User06,7,35,151,5.0
User06,8,49,306,10.2
User06,9,51,247,8.2
User06,10,60,859,28.6
User06,11,48,656,21.9
User06,12,87,776,25.9
User06,13,50,463,15.4
User06,14,46,535,17.8
User06,15,40,590,19.7
User06,16,42,560,18.7
User06,17,47,522,17.4
User06,18,44,522,17.4
User06,19,70,807,26.9
User06,20,48,382,12.7
User06,21,26,187,6.2
User06,22,29,305,10.2
User06,23,18,89,3.0
User07,0,4,15,0.5
User07,1,5,18,0.6
User07,2,4,17,0.5
User07,3,13,25,0.8
User07,4,22,39,1.3
User07,5,101,782,25.2
User07,6,121,1106,35.7
User07,7,19,285,9.2
User07,8,92,466,15.0
User07,9,92,436,14.1
User07,10,62,458,14.8
User07,11,101,425,13.7
User07,12,129,559,18.0
User07,13,100,481,15.5
User07,14,154,467,15.1
User07,15,43,364,12.1
User07,16,111,725,24.2
User07,17,113,1029,34.3
User07,18,121,982,32.7
User07,19,115,748,24.9
User07,20,96,745,24.8
User07,21,26,204,6.8
User07,22,16,105,3.5
User07,23,17,38,1.3
User08,0,1,2,0.1
User08,1,2,4,0.1
User08,2,8,11,0.4
User08,3,2,5,0.2
User08,4,3,8,0.3
User08,5,14,38,1.2
User08,6,48,594,19.2
User08,7,30,313,10.1
User08,8,44,293,9.5
User08,9,45,469,15.1
User08,10,52,367,11.8
User08,11,76,435,14.5
User08,12,96,720,24.0
User08,13,115,520,17.3
User08,14,119,589,19.6
User08,15,61,408,13.6
User08,16,76,448,14.9
User08,17,46,684,22.8
User08,18,82,779,26.0
User08,19,68,862,28.7
User08,20,58,749,25.0
User08,21,64,827,27.6
User08,22,33,321,10.7
User08,23,4,7,0.2
User09,0,25,69,2.3
User09,1,68,81,2.7
User09,2,39,73,2.4
User09,3,8,22,0.7
User09,4,28,59,2.0
User09,5,60,211,7.0
User09,6,154,1761,58.7
User09,7,115,932,31.1
User09,8,124,633,21.1
User09,9,128,633,21.1
User09,10,173,1214,40.5
