userName,DayOfWeek,MaxIntensity,SumIntensity,AvgIntensity
User01,1,169,1492,15.5
User01,2,70,759,7.9
User01,3,60,662,5.5
User01,4,112,806,6.7
User01,5,56,763,6.8
User01,6,32,547,5.7
User01,7,87,888,9.2
User02,1,93,886,9.2
User02,2,115,905,9.4
User02,3,90,1752,14.6
User02,4,130,592,5.5
User02,5,69,886,9.2
User02,6,41,817,8.5
User02,7,98,1610,16.8
User03,1,114,1363,14.2
User03,2,157,1723,17.9
User03,3,157,2218,18.5
User03,4,145,2238,18.7
User03,5,104,2134,19.1
User03,6,151,1655,17.2
User03,7,133,1204,12.5
User04,1,49,626,13.0
User04,2,67,615,12.8
User04,3,73,1053,14.6
User04,4,117,1095,15.2
User04,5,88,863,12.0
User04,6,95,624,11.6
User04,7,132,1136,23.7
User05,1,147,1520,15.8
User05,2,112,1670,17.4
User05,3,118,2004,16.7
User05,4,129,1276,13.3
User05,5,113,1164,12.1
User05,6,124,1310,13.6
User05,7,115,1655,17.2
User06,1,30,427,4.4
User06,2,59,1259,13.1
User06,3,70,1390,11.6
User06,4,87,1623,13.5
User06,5,82,1287,12.9
User06,6,58,1142,11.9
User06,7,51,1061,11.1
User07,1,115,1380,14.4
User07,2,113,1357,14.1
User07,3,82,1383,11.5
User07,4,121,1634,13.6
User07,5,91,1359,12.2
User07,6,121,1558,16.2
User07,7,154,1848,19.3
User08,1,119,1455,15.2
User08,2,72,1202,12.5
User08,3,68,1375,11.5
User08,4,82,1495,12.5
User08,5,68,1144,10.7
User08,6,46,930,9.7
User08,7,76,1852,19.3
User09,1,173,2638,27.5
User09,2,172,1589,16.6
User09,3,130,2369,19.7
User09,4,127,1488,13.8
User09,5,154,2103,21.9
User09,6,129,1860,19.4
User09,7,180,2039,21.2
User10,1,74,307,4.3
User10,2,83,515,7.2
User10,3,79,234,2.4
User10,4,91,786,8.2
User10,5,56,242,2.5
User10,6,41,259,2.7
User10,7,112,325,4.0
User11,1,62,929,9.7
User11,2,127,1657,17.3
User11,3,139,2056,17.1
User11,4,104,1725,14.4
User11,5,124,1443,13.4
User11,6,101,1347,14.0
User11,7,159,1732,18.0
User12,1,54,961,13.3
User12,2,157,1540,21.4
User12,3,156,2109,22.0
User12,4,174,1577,16.4
User12,5,137,1906,19.9
User12,6,160,1791,18.7
User12,7,72,682,9.3
User13,1,80,800,8.3
User13,2,147,1674,17.4
User13,3,158,1976,16.5
User13,4,166,1727,14.4
User13,5,134,1333,12.2
User13,6,150,1518,15.8
User13,7,103,914,9.5
User14,1,137,503,10.5
User14,2,78,457,9.5
User14,3,103,635,8.8
User14,4,149,739,10.3
User14,5,145,596,8.3
User14,6,89,427,6.0
User14,7,118,568,11.8
User15,1,83,786,8.2
User15,2,176,665,6.9
User15,3,100,1091,9.1
User15,4,178,1133,9.6
User15,5,95,762,7.9
User15,6,110,1143,11.9
User15,7,84,976,10.2
User16,1,38,123,1.3
User16,2,19,101,1.1
User16,3,29,352,3.7
User16,4,47,482,5.0
User16,5,41,403,4.2
User16,6,74,790,8.2
User16,7,84,729,7.6
User17,1,50,310,3.2
User17,2,44,241,2.5
User17,3,37,533,4.4
User17,4,29,337,2.8
User17,5,67,1135,10.6
User17,6,36,645,6.7
User17,7,41,470,4.9
User18,1,55,204,2.1
User18,2,63,187,1.9
User18,3,40,294,2.4
User18,4,34,119,1.0
User18,5,34,201,1.8
User18,6,47,169,1.8
User18,7,32,193,2.0
User19,1,35,673,7.0
User19,2,56,1198,12.5
User19,3,35,956,8.0
User19,4,55,1526,12.7
User19,5,45,1476,13.2
User19,6,43,1085,11.3
User19,7,46,1044,10.9
User20,1,33,740,7.7
User20,2,41,740,7.7
User20,3,67,1336,11.1
User20,4,52,1074,8.9
User20,5,36,786,7.1
User20,6,36,760,7.9
User20,7,33,990,10.3
User21,1,148,1223,12.7
User21,2,52,1378,14.4
User21,3,58,1869,15.6
User21,4,96,1948,16.2
User21,5,92,1694,15.1
User21,6,108,1529,15.9
User21,7,131,1474,15.4
User22,1,74,867,13.5
User22,2,101,833,17.4
User22,3,97,1059,14.7
User22,4,105,1204,16.7
User22,5,81,1271,17.7
User22,6,49,943,13.1
User22,7,96,1082,15.0
User23,1,29,265,2.8
User23,2,42,247,2.6
User23,3,42,753,6.3
User23,4,68,633,5.3
User23,5,93,408,3.8
User23,6,67,408,4.3
User23,7,118,476,5.0
User24,3,22,164,6.8
User24,4,26,160,6.7
User24,5,0,0,0.0
User24,6,31,107,6.7
User25,1,46,922,9.6
User25,2,106,983,10.2
User25,3,109,1144,9.5
User25,4,137,1181,9.8
User25,5,34,936,8.4
User25,6,39,1122,11.7
User25,7,92,910,9.5
User26,1,112,1454,15.1
User26,2,92,1617,16.8
User26,3,101,1597,13.3
User26,4,103,1491,12.4
User26,5,73,1823,16.3
User26,6,123,1258,13.1
User26,7,114,1395,14.5
User27,1,40,622,6.5
User27,2,105,1368,14.3
User27,3,106,2177,18.1
User27,4,92,1079,9.0
User27,5,144,1776,16.8
User27,6,107,1614,16.8
User27,7,41,740,7.7
User28,1,50,1389,14.5
User28,2,48,631,7.5
User28,3,50,846,8.8
User28,4,71,1061,11.1
User28,5,61,993,10.3
User28,6,56,1521,15.8
User28,7,52,1836,19.1
User29,1,102,1347,14.0
User29,2,52,1075,12.1
User29,3,41,760,7.9
User29,4,38,1167,12.2
User29,5,40,857,8.9
User29,6,34,935,9.7
User29,7,72,908,9.5
User30,1,177,1887,19.7
User30,2,135,1559,16.2
User30,3,159,2254,18.8
User30,4,177,2067,17.2
User30,5,140,2040,18.4
User30,6,168,1612,16.8
User30,7,179,1774,18.5
User31,1,162,727,7.6
User31,2,165,1818,18.9
User31,3,165,2215,18.5
User31,4,165,1852,15.4
User31,5,165,1910,17.2
User31,6,165,1531,15.9
User31,7,149,868,9.0
User32,1,161,1534,16.0
User32,2,159,1440,15.0
User32,3,173,1989,16.6
User32,4,173,2515,21.0
User32,5,148,2063,18.6
User32,6,180,1852,19.3
User32,7,180,2632,27.4
User33,1,131,1449,15.1
User33,2,132,1650,17.2
User33,3,86,2189,18.2
User33,4,150,1878,16.1
User33,5,113,1399,14.6
User33,6,159,1434,14.9
User33,7,108,1595,16.6
