userName,DayOfWeek,MaxSteps,SumSteps,AvgSteps
User01,1,8976,51672,538.3
User01,2,4120,25910,269.9
User01,3,5375,18974,158.1
User01,4,4016,25675,214.0
User01,5,4148,23424,209.1
User01,6,1013,9609,100.1
User01,7,3579,22486,234.2
User02,1,3195,24934,259.7
User02,2,4084,21083,219.6
User02,3,2810,53800,448.3
User02,4,4660,16767,155.2
User02,5,2162,26028,271.1
User02,6,1780,21870,227.8
User02,7,3434,53445,556.7
User03,1,5317,42423,441.9
User03,2,5400,49258,513.1
User03,3,5243,58523,487.7
User03,4,4838,62335,519.5
User03,5,3833,53517,477.8
User03,6,5596,44460,463.1
User03,7,4833,41196,429.1
User04,1,1835,14943,311.3
User04,2,2882,17729,369.4
User04,3,3229,22804,316.7
User04,4,4359,32774,455.2
User04,5,3410,25648,356.2
User04,6,3724,18294,338.8
User04,7,5291,39145,815.5
User05,1,5020,48526,505.5
User05,2,4752,53864,561.1
User05,3,4112,59908,499.2
User05,4,5414,42259,440.2
User05,5,3792,33139,345.2
User05,6,4873,40243,419.2
User05,7,3895,50305,524.0
User06,1,952,9033,94.1
User06,2,1993,30971,322.6
User06,3,2273,37959,316.3
User06,4,2445,42872,357.3
User06,5,3547,35212,352.1
User06,6,2033,27580,287.3
User06,7,1661,25837,269.1
User07,1,4770,42456,442.2
User07,2,4273,44284,461.3
User07,3,2662,42668,355.6
User07,4,4037,50260,418.8
User07,5,2321,41674,375.4
User07,6,2985,43304,451.1
User07,7,5237,55119,574.2
User08,1,3962,40599,422.9
User08,2,2146,33722,351.3
User08,3,1917,40096,334.1
User08,4,2503,40579,338.2
User08,5,1962,34779,325.0
User08,6,1278,25010,260.5
User08,7,2196,50774,528.9
User09,1,3857,41363,430.9
User09,2,4181,27121,282.5
User09,3,3910,45948,382.9
User09,4,4000,29347,271.7
User09,5,2089,36817,383.5
User09,6,2206,33661,350.6
User09,7,3729,34262,356.9
User10,1,2303,7137,99.1
User10,2,2719,14757,205.0
User10,3,3241,7100,74.0
User10,4,1707,14824,154.4
User10,5,1196,5865,61.1
User10,6,1500,6561,68.3
User10,7,3629,9127,111.3
User11,1,2012,24816,258.5
User11,2,4988,49897,519.8
User11,3,5110,58931,491.1
User11,4,3837,46769,389.7
User11,5,3935,40106,371.4
User11,6,3301,32958,343.3
User11,7,5890,50144,522.3
User12,1,1831,24744,343.7
User12,2,5974,46086,640.1
User12,3,5287,57966,603.8
User12,4,6017,41969,437.2
User12,5,5377,55061,573.6
User12,6,5742,52098,542.7
User12,7,2567,16485,225.8
User13,1,3428,26572,276.8
User13,2,5277,43528,453.4
User13,3,6235,57070,475.6
User13,4,6357,51845,432.0
User13,5,4946,39599,363.3
User13,6,4869,38660,402.7
User13,7,3925,30229,314.9
User14,1,6715,19109,398.1
User14,2,2308,11980,249.6
User14,3,5007,17807,247.3
User14,4,7652,24751,343.8
User14,5,7183,19220,266.9
User14,6,3232,11433,161.0
User14,7,3676,18538,386.2
User15,1,2484,21276,221.6
User15,2,6554,17818,185.6
User15,3,2940,29427,245.2
User15,4,6503,31915,270.5
User15,5,3092,19337,201.4
User15,6,3955,30844,321.3
User15,7,2575,25583,266.5
User16,1,329,2019,21.0
User16,2,351,1831,19.1
