userName,HourOfDay,MaxSteps,SumSteps,AvgSteps
User01,0,465,2542,82.0
User01,1,277,428,13.8
User01,2,473,1167,37.6
User01,3,106,270,8.7
User01,4,207,213,6.9
User01,5,1748,1854,59.8
User01,6,2759,3419,110.3
User01,7,7609,8661,279.4
User01,8,8520,15185,489.8
User01,9,8976,19976,644.4
User01,10,5375,20445,659.5
User01,11,1649,7982,257.5
User01,12,1236,5758,185.7
User01,13,3579,11971,386.2
User01,14,4016,10905,351.8
User01,15,812,4535,146.3
User01,16,3242,7709,257.0
User01,17,2047,8670,289.0
User01,18,1456,10519,350.6
User01,19,3261,13091,436.4
User01,20,2628,6231,207.7
User01,21,2666,6681,222.7
User01,22,1962,6709,223.6
User01,23,466,2829,94.3
User02,0,974,2385,79.5
User02,1,561,1138,37.9
User02,2,798,1282,42.7
User02,3,227,237,7.9
User02,4,59,74,2.5
User02,5,7,15,0.5
User02,6,7,14,0.5
User02,7,1306,2455,81.8
User02,8,1116,9452,315.1
User02,9,926,4793,159.8
User02,10,981,4721,157.4
User02,11,1922,7790,259.7
User02,12,1959,10558,364.1
User02,13,1936,13722,473.2
User02,14,3195,13157,453.7
User02,15,1780,7638,263.4
User02,16,3434,9483,327.0
User02,17,1626,12414,428.1
User02,18,2743,21346,736.1
User02,19,4660,34791,1199.7
User02,20,2674,20999,724.1
User02,21,2810,22194,765.3
User02,22,1937,14384,496.0
User02,23,1375,2885,99.5
User03,0,0,0,0.0
User03,1,0,0,0.0
User03,2,0,0,0.0
User03,3,0,0,0.0
User03,4,0,0,0.0
User03,5,0,0,0.0
User03,6,660,1717,55.4
User03,7,1073,11141,359.4
User03,8,3056,14555,469.5
User03,9,5596,59401,1916.2
User03,10,5243,42062,1356.8
User03,11,4838,23736,765.7
User03,12,3571,20849,672.5
User03,13,2418,20109,648.7
User03,14,4178,52933,1707.5
User03,15,2742,23334,752.7
User03,16,4709,27940,931.3
User03,17,1351,17514,583.8
User03,18,3833,19445,648.2
User03,19,1122,12443,414.8
User03,20,497,3719,124.0
User03,21,425,632,21.1
User03,22,182,182,6.1
User03,23,0,0,0.0
User04,0,10,31,1.7
User04,1,8,8,0.4
User04,2,18,47,2.6
User04,3,4,4,0.2
User04,4,38,63,3.5
User04,5,20,36,2.0
User04,6,228,811,47.7
User04,7,3724,18236,1072.7
User04,8,5291,24352,1432.5
User04,9,5249,8316,489.2
User04,10,825,4910,288.8
User04,11,2143,8150,479.4
User04,12,1056,6325,372.1
User04,13,2423,13849,814.6
User04,14,754,4530,266.5
User04,15,337,2749,161.7
User04,16,468,3203,188.4
User04,17,1344,5586,328.6
User04,18,2882,24223,1424.9
User04,19,4359,14302,841.3
User04,20,2497,15345,902.6
User04,21,3410,13140,772.9
User04,22,713,2996,176.2
User04,23,103,125,7.4
User05,0,753,3913,134.9
User05,1,353,888,30.6
User05,2,70,200,6.9
User05,3,63,169,5.8
User05,4,16,40,1.4
User05,5,18,83,2.9
User05,6,384,471,16.2
User05,7,692,1173,40.4
User05,8,929,4074,140.5
User05,9,794,4148,143.0
User05,10,1508,13134,452.9
User05,11,3172,15739,542.7
User05,12,2896,10779,371.7
User05,13,4112,24474,843.9
User05,14,3850,24783,854.6
User05,15,2988,12412,428.0
User05,16,2600,16765,578.1
User05,17,3916,22315,769.5
User05,18,3409,21948,756.8
User05,19,5020,32761,1129.7
User05,20,3868,27493,948.0
User05,21,4240,26958,929.6
User05,22,3950,34685,1196.0
User05,23,5414,28839,994.4
User06,0,67,206,6.6
User06,1,19,98,3.2
User06,2,15,67,2.2
User06,3,68,200,6.5
User06,4,64,199,6.6
User06,5,1950,2057,68.6
User06,6,3547,3672,122.4
User06,7,1279,3932,131.1
User06,8,1479,7312,243.7
User06,9,1278,5307,176.9
User06,10,1984,30068,1002.3
User06,11,1384,16649,555.0
User06,12,2445,20378,679.3
User06,13,1390,11582,386.1
User06,14,1267,13634,454.5
User06,15,1170,11576,385.9
User06,16,1085,11652,388.4
User06,17,1218,11411,380.4
User06,18,1143,13536,451.2
User06,19,2273,24951,831.7
User06,20,1661,9801,326.7
User06,21,646,3676,122.5
User06,22,889,6070,202.3
User06,23,316,1430,47.7
User07,0,73,173,5.6
User07,1,51,149,4.8
User07,2,49,170,5.5
User07,3,263,372,12.0
User07,4,441,666,21.5
User07,5,2844,17827,575.1
User07,6,2662,33020,1065.2
User07,7,826,11505,371.1
User07,8,2564,13507,435.7
User07,9,3345,13533,436.5
User07,10,2772,16741,540.0
User07,11,2916,14842,478.8
User07,12,4167,18727,604.1
User07,13,3075,15203,490.4
User07,14,5237,14305,461.5
User07,15,1708,11314,377.1
User07,16,3735,25459,848.6
User07,17,3803,28778,959.3
User07,18,4273,28718,957.3
User07,19,4770,25173,839.1
User07,20,2715,21989,733.0
User07,21,936,4971,165.7
User07,22,387,2075,69.2
User07,23,393,548,18.3
User08,0,8,15,0.5
User08,1,15,31,1.0
User08,2,185,208,6.7
User08,3,13,31,1.0
User08,4,33,68,2.2
User08,5,617,1058,34.1
User08,6,1604,17938,578.6
User08,7,837,9199,296.7
User08,8,1355,8401,271.0
User08,9,1616,19809,639.0
User08,10,1441,9847,317.6
User08,11,2196,13460,448.7
User08,12,3023,23349,778.3
User08,13,3962,15135,504.5
User08,14,3926,16139,538.0
User08,15,1724,9395,313.2
User08,16,2315,11362,378.7
User08,17,1507,22103,736.8
User08,18,2503,21102,703.4
User08,19,2019,22419,747.3
User08,20,1649,16344,544.8
User08,21,1523,20118,670.6
User08,22,999,7939,264.6
User08,23,78,89,3.0
User09,0,582,1499,50.0
User09,1,1719,1874,62.5
User09,2,316,832,27.7
User09,3,206,383,12.8
User09,4,1036,1607,53.6
User09,5,1064,5276,175.9
User09,6,2196,28226,940.9
User09,7,3910,15192,506.4
User09,8,4000,13017,433.9
User09,9,4181,14878,495.9
User09,10,2833,19817,660.6
User09,11,3857,26848,894.9
User09,12,2089,12146,418.8
User09,13,1695,9607,331.3
User09,14,3729,17624,607.7
User09,15,3393,14140,487.6
User09,16,1653,9058,312.3
User09,17,1154,8169,281.7
User09,18,2249,10911,376.2
User09,19,1832,17692,610.1
User09,20,2303,12335,425.3
User09,21,1313,4414,152.2
User09,22,616,2446,84.3
User09,23,117,528,18.2
User10,0,557,1016,39.1
User10,1,9,9,0.3
User10,2,147,154,5.9
User10,3,0,0,0.0
User10,4,32,40,1.5
User10,5,2127,2127,81.8
User10,6,3241,4129,158.8
